Wavelength (nm),Reflectance
250,49.901862
251,49.832032
252,49.766288
253,49.717399
254,49.615813
255,49.527184
256,49.470175
257,49.384848
258,49.324898
259,49.290495
260,49.230678
261,49.150224
262,49.114494
263,49.101499
264,49.045483
265,49.003076
266,48.980207
267,49.011184
268,48.940621
269,48.900661
270,48.898757
271,48.925217
272,48.929311
273,48.89483
274,48.820243
275,48.791543
276,48.769115
277,48.815296
278,48.809855
279,48.766377
280,48.753984
281,48.749944
282,48.72047
283,48.743811
284,48.707487
285,48.696994
286,48.766163
287,48.746015
288,48.748846
289,48.775368
290,48.812023
291,48.771199
292,48.799693
293,48.820744
294,48.751855
295,48.827653
296,48.848083
297,48.845934
298,48.83592
299,48.831873
300,48.815778
301,48.827736
302,48.845061
303,48.813947
304,48.840886
305,48.849711
306,48.809554
307,48.896175
308,48.945884
309,48.902407
310,48.842354
311,48.838909
312,48.786016
313,48.85805
314,48.80662
315,48.872551
316,48.832587
317,48.696978
318,48.695546
319,48.639999
320,48.671532
321,48.779213
322,48.582865
323,48.607938
324,48.666362
325,48.541926
326,48.600089
327,48.574099
328,48.453977
329,48.413214
330,48.452426
331,48.385727
332,48.419893
333,48.428104
334,48.417844
335,48.419071
336,48.430646
337,48.332083
338,48.310058
339,48.279598
340,48.28381
341,48.314246
342,48.357884
343,48.336439
344,48.356472
345,48.326084
346,48.286254
347,48.316462
348,48.29935
349,48.331439
350,48.299259
351,48.371994
352,48.28669
353,48.322813
354,48.318801
355,48.298261
356,48.276364
357,48.277978
358,48.258998
359,48.307042
360,48.277528
361,48.218594
362,48.278612
363,48.277062
364,48.307968
365,48.210622
366,48.287384
367,48.264492
368,48.338323
369,48.314075
370,48.26416
371,48.329519
372,48.191372
373,48.271729
374,48.313783
375,48.204573
376,48.299615
377,48.384155
378,48.358459
379,48.417144
380,48.354234
381,48.358213
382,48.384212
383,48.370969
384,48.381329
385,48.38559
386,48.364826
387,48.34676
388,48.339269
389,48.328116
390,48.334449
391,48.312791
392,48.328882
393,48.340994
394,48.315117
395,48.298929
396,48.308705
397,48.309548
398,48.291071
399,48.313812
400,48.346554
401,48.344698
402,48.340867
403,48.343119
404,48.333864
405,48.279082
406,48.314276
407,48.362913
408,48.322448
409,48.330502
410,48.316138
411,48.323258
412,48.038124
413,48.355781
414,48.286055
415,48.272801
416,48.278334
417,48.322142
418,48.31726
419,48.335462
420,48.326164
421,48.325002
422,48.354496
423,48.310591
424,48.343642
425,48.365068
426,48.374752
427,48.334929
428,48.356817
429,48.381074
430,48.407889
431,48.400647
432,48.388909
433,48.395997
434,48.367681
435,48.395099
436,48.400717
437,48.357291
438,48.359293
439,48.375422
440,48.347006
441,48.036478
442,48.369696
443,48.391377
444,48.409047
445,48.401593
446,48.412322
447,48.421272
448,48.430114
449,48.468935
450,48.500344
451,48.480246
452,48.483367
453,48.486221
454,48.499744
455,48.513576
456,48.506246
457,48.524053
458,48.540735
459,48.526469
460,48.509991
461,48.500729
462,48.488062
463,48.514728
464,48.528348
465,48.523823
466,48.53376
467,48.519198
468,48.50547
469,48.504732
470,48.496032
471,48.506687
472,48.51877
473,48.514463
474,48.509255
475,48.489268
476,48.483041
477,48.478538
478,48.485284
479,48.503033
480,48.507856
481,48.527548
482,48.556359
483,48.542056
484,48.552749
485,48.568022
486,48.581135
487,48.605629
488,48.580285
489,48.576883
490,48.577357
491,48.599234
492,48.630432
493,48.650965
494,48.62625
495,48.60958
496,48.629314
497,48.628052
498,48.636994
499,48.669465
500,48.674485
501,48.673051
502,48.695508
503,48.718945
504,48.677516
505,48.646079
506,48.691358
507,48.670188
508,48.639847
509,48.675135
510,48.685472
511,48.679828
512,48.678474
513,48.655074
514,48.636762
515,48.062903
516,48.636584
517,48.640861
518,48.649285
519,48.664188
520,48.630941
521,48.639484
522,48.665044
523,48.654198
524,48.645514
525,48.655185
526,48.663269
527,48.651478
528,48.681113
529,48.673884
530,48.663913
531,48.668236
532,48.682404
533,48.677809
534,48.685439
535,48.682547
536,48.657788
537,48.692969
538,48.680596
539,48.679762
540,48.685612
541,48.693875
542,48.695462
543,48.709244
544,48.722597
545,48.701996
546,48.691316
547,48.71125
548,48.743624
549,48.685695
550,48.710354
551,48.719757
552,48.738154
553,48.727637
554,48.722658
555,48.720261
556,48.751001
557,48.727751
558,48.714458
559,48.707999
560,48.74051
561,48.743157
562,48.078161
563,48.725152
564,48.726839
565,48.775858
566,48.717721
567,48.703616
568,48.741869
569,48.741555
570,48.755322
571,48.756143
572,48.751802
573,48.73353
574,48.801166
575,48.791089
576,48.736649
577,48.77727
578,48.800739
579,48.817663
580,48.795422
581,48.764341
582,48.792945
583,48.767497
584,48.822201
585,48.849749
586,48.785576
587,48.810754
588,48.819354
589,48.802453
590,48.796951
591,48.792811
592,48.775917
593,48.84778
594,48.798235
595,48.803502
596,48.810659
597,48.798094
598,48.802474
599,48.847474
600,48.81904
601,48.81001
602,48.80034
603,48.791482
604,48.764584
605,48.814675
606,48.772569
607,48.805918
608,48.776226
609,48.775156
610,48.846107
611,48.776432
612,48.75292
613,48.800598
614,48.775082
615,48.813462
616,48.810548
617,48.811661
618,48.828614
619,48.826144
620,48.819734
621,48.815959
622,48.819444
623,48.806167
624,48.828745
625,48.831237
626,48.790401
627,48.761857
628,48.774955
629,48.776295
630,48.839976
631,48.822788
632,48.797378
633,48.809433
634,48.777428
635,48.774429
636,48.80509
637,48.801427
638,48.821084
639,48.823469
640,48.829767
641,48.821518
642,48.801609
643,48.801509
644,48.807979
645,48.816484
646,48.80929
647,48.786394
648,48.77045
649,48.807452
650,48.792956
